Museum,TownHall,Terrace,Image,Visited,WebSite
Museo de El Carmen,Alvaro Obregón,0,MCdMx1,0,https://lugares.inah.gob.mx/es/museos-inah/museo/404-museo-de-el-carmen.html?lugar_id=404&lugar_tipo=museos
Museo Soumaya,Alvaro Obregón,0,MCdMx2,1,http://www.museosoumaya.org/
Museo Casa del Risco,Alvaro Obregón,0,MCdMx3,0,https://www.museocasadelrisco.org.mx/
Museo Casa Estudio Diego Rivera y Frida Kahlo,Alvaro Obregón,0,MCdMx4,0,https://inba.gob.mx/recinto/51
Museo Nacional de Historia Castillo de Chapultepec,Miguel Hidalgo,0,MCdMx5,1,https://mnh.inah.gob.mx/
Museo Jumex,Miguel Hidalgo,1,MCdMx6,1,https://www.fundacionjumex.org/es
Maná Museo de la Biblia,Miguel Hidalgo,0,MCdMx7,0,https://mana.museum/
Museo Casa de la Bola,Miguel Hidalgo,0,MCdMx8,0,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=548
"Museo de Geofísica, UNAM",Miguel Hidalgo,0,MCdMx9,0,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1614
Museo Nacional de la Cartografía,Miguel Hidalgo,0,MCdMx10,0,http://sic.gob.mx/ficha.php?table=museo&table_id=977
Sala de Arte Público Siqueiros,Miguel Hidalgo,0,MCdMx11,0,https://inba.gob.mx/recinto/49
Museo Nacional de Antropología,Miguel Hidalgo,0,MCdMx12,1,https://www.mna.inah.gob.mx/
Museo José Luis Cuevas,Cuauhtémoc,0,MCdMx13,0,http://www.museojoseluiscuevas.com.mx/
Museo Experimental el Eco,Cuauhtémoc,0,MCdMx14,0,https://eleco.unam.mx/
Museo Casa de la Memoria Indómita,Cuauhtémoc,0,MCdMx15,0,http://sic.gob.mx/ficha.php?table=museo&table_id=1538
Museo de la Luz,Cuauhtémoc,0,MCdMx16,0,https://www.museodelaluz.unam.mx/
Museo Nacional de San Carlos,Cuauhtémoc,0,MCdMx17,0,https://mnsancarlos.inba.gob.mx/
Museo de la Charrería,Cuauhtémoc,0,MCdMx18,0,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=883
Museo del Objeto,Cuauhtémoc,0,MCdMx19,0,https://www.elmodo.mx/
Museo Mexicano del Diseño (MUMEDI),Cuauhtémoc,0,MCdMx20,0,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1212
